"district","school","pga","soil","building","type","built"
"Aberdeen","A.J. West Elementary",67.4,"Firm Soil - Soft Soil","Annex Building","Permanent",1966
"Aberdeen","A.J. West Elementary",67.4,"Firm Soil - Soft Soil","1952 Building","Permanent",1952
"Aberdeen","A.J. West Elementary",67.4,"Firm Soil - Soft Soil","Portable Building","Permanent",1999
"Aberdeen","Central Park Elementary",69.27,"Very Dense Soil/Soft Rock - Firm Soil","Covered Play 1","Permanent",1956
"Aberdeen","Central Park Elementary",69.27,"Very Dense Soil/Soft Rock - Firm Soil","Annex Building","Permanent",1966
"Aberdeen","Central Park Elementary",69.27,"Very Dense Soil/Soft Rock - Firm Soil","Main Building","Permanent",1956
"Aberdeen","Hopkins Building (Harbor High School)",67.34,"Firm Soil - Soft Soil","Hopkins Building","Permanent",1956
"Aberdeen","J. M. Weatherwax High",67.26,"Firm Soil - Soft Soil","Greenhouse #2","Permanent",1999
"Aberdeen","J. M. Weatherwax High",67.26,"Firm Soil - Soft Soil","Greenhouse #3","Permanent",2014
"Aberdeen","J. M. Weatherwax High",67.26,"Firm Soil - Soft Soil","Main Building","Permanent",2005
"Aberdeen","J. M. Weatherwax High",67.26,"Firm Soil - Soft Soil","Greenhouse #1","Permanent",1999
"Aberdeen","McDermoth Elementary",67.28,"Firm Soil - Soft Soil","Main Building","Permanent",1926
"Aberdeen","Miller Junior High",66.88,"Firm Soil - Soft Soil","Main Building","Permanent",1979
"Aberdeen","Miller Junior High",66.88,"Firm Soil - Soft Soil","Stadium and Restrooms","Permanent",1977
"Aberdeen","Robert Gray Elementary",70.81,"Firm Soil - Soft Soil","Portable Building","Portable",2002
"Aberdeen","Robert Gray Elementary",70.81,"Firm Soil - Soft Soil","Main Building","Permanent",2002
"Aberdeen","Stevens Elementary",66.87,"Firm Soil - Soft Soil","Portable","Portable",1996
"Aberdeen","Stevens Elementary",66.87,"Firm Soil - Soft Soil","Covered Play","Permanent",1955
"Aberdeen","Stevens Elementary",66.87,"Firm Soil - Soft Soil","Main Building","Permanent",1955
"Adna","Adna Elementary",51.02,"Very Dense Soil and Soft Rock","Old Portable","Portable",1992
"Adna","Adna Elementary",51.02,"Very Dense Soil and Soft Rock","Main Building","Permanent",1980
"Adna","Adna Elementary",51.02,"Very Dense Soil and Soft Rock","New Portable","Portable",2002
"Adna","Adna Elementary",51.02,"Very Dense Soil and Soft Rock","Covered Play 2","Permanent",1994
"Adna","Adna Elementary",51.02,"Very Dense Soil and Soft Rock","Covered Play 1","Permanent",1980
"Adna","Adna Elementary",51.02,"Very Dense Soil and Soft Rock","Storage Portable","Portable",1980
"Adna","Adna Middle High",48.9,"Firm Soil - Soft Soil","Stadium","Permanent",2010
"Adna","Adna Middle High",48.9,"Firm Soil - Soft Soil","Weight Room/Storage","Permanent",2014
"Adna","Adna Middle High",48.9,"Firm Soil - Soft Soil","Main Building","Permanent",1992
"Adna","Adna School District Office",,"","Adna School District Office","Permanent",1976
"Almira","Almira Elementary",22.62,"Firm Soil","Bus Barn","Permanent",1960
"Almira","Almira Elementary",22.62,"Firm Soil","Main Building","Permanent",1950
"Anacortes","Anacortes High",45.48,"Very Dense Soil and Soft Rock","Main","Permanent",1955
"Anacortes","Anacortes High",45.48,"Very Dense Soil and Soft Rock","Concession","Portable",1962
"Anacortes","Anacortes High",45.48,"Very Dense Soil and Soft Rock","Portables","Portable",1999
"Anacortes","Anacortes Middle",48.04,"Firm Soil","Main Building","Permanent",1949
"Anacortes","Anacortes Middle",48.04,"Firm Soil","Maintenance Portable","Portable",1945
"Anacortes","Cap Sante High",45.42,"Very Dense Soil and Soft Rock","Main Portable","Portable",2001
"Anacortes","Fidalgo Elementary",47.56,"Very Dense Soil and Soft Rock","Main Building","Permanent",1957
"Anacortes","Island View Elementary",45.61,"Very Dense Soil and Soft Rock","Main Building","Permanent",1957
"Anacortes","Mount Erie Elementary",46.2,"Very Dense Soil and Soft Rock","Main Building","Permanent",1955
"Anacortes","Mount Erie Elementary",46.2,"Very Dense Soil and Soft Rock","Portable","Portable",1996
"Anacortes","Whitney Elementary",47.86,"Firm Soil","Portable 9","Portable",1988
"Anacortes","Whitney Elementary",47.86,"Firm Soil","South Building","Permanent",1961
"Anacortes","Whitney Elementary",47.86,"Firm Soil","Covered Play","Permanent",1999
"Anacortes","Whitney Elementary",47.86,"Firm Soil","Main Building","Permanent",1961
"Anacortes","Whitney Elementary",47.86,"Firm Soil","Portable 10","Portable",1998
"Anacortes","Whitney Elementary",47.86,"Firm Soil","North Building","Permanent",1961
"Arlington","Arlington High",43.07,"Very Dense Soil and Soft Rock","AF JROTC Portable","Portable",1996
"Arlington","Arlington High",43.07,"Very Dense Soil and Soft Rock","Greenhouse","Permanent",2003
"Arlington","Arlington High",43.07,"Very Dense Soil and Soft Rock","Main Building","Permanent",2003
"Arlington","Arlington High",43.07,"Very Dense Soil and Soft Rock","Stadium","Permanent",2003
"Arlington","Arlington High",43.07,"Very Dense Soil and Soft Rock","Stadium Storage","Permanent",2003
"Arlington","Arlington High",43.07,"Very Dense Soil and Soft Rock","Industrial Arts Building","Permanent",2003
"Arlington","Arlington High",43.07,"Very Dense Soil and Soft Rock","Stadium Ticket Booth","Permanent",2003
"Arlington","District Administration",44.36,"Very Dense Soil/Soft Rock - Firm Soil","District Administration Office (Roosevelt)","Permanent",1921
"Arlington","Eagle Creek Elementary",44.26,"Very Dense Soil/Soft Rock - Firm Soil","Covered Play","Permanent",1989
"Arlington","Eagle Creek Elementary",44.26,"Very Dense Soil/Soft Rock - Firm Soil","Main Building","Permanent",1989
"Arlington","Eagle Creek Elementary",44.26,"Very Dense Soil/Soft Rock - Firm Soil","Metal Storage Building","Permanent",1989
"Arlington","Eagle Creek Elementary",44.26,"Very Dense Soil/Soft Rock - Firm Soil"," Portable 3 ","Portable",1998
"Arlington","Eagle Creek Elementary",44.26,"Very Dense Soil/Soft Rock - Firm Soil"," Portable 4 ","Portable",1998
"Arlington","Haller Middle",44.38,"Very Dense Soil/Soft Rock - Firm Soil","Gymnasium Building","Permanent",1978
"Arlington","Haller Middle",44.38,"Very Dense Soil/Soft Rock - Firm Soil","Hartz Field Bathroom and Storage Building","Permanent",1965
"Arlington","Haller Middle",44.38,"Very Dense Soil/Soft Rock - Firm Soil","Hartz Field Concession Building","Permanent",1965
"Arlington","Haller Middle",44.38,"Very Dense Soil/Soft Rock - Firm Soil","Main Building","Permanent",2006
"Arlington","Haller Middle",44.38,"Very Dense Soil/Soft Rock - Firm Soil","Music Building","Permanent",1968
"Arlington","Kent Prairie Elementary",42.45,"Firm Soil - Soft Soil","Covered Play","Permanent",1993
"Arlington","Kent Prairie Elementary",42.45,"Firm Soil - Soft Soil","Main Building","Permanent",1993
"Arlington","Pioneer Elementary",43.14,"Very Dense Soil and Soft Rock","Main Building","Permanent",2002
"Arlington","Post Middle",44.25,"Very Dense Soil/Soft Rock - Firm Soil","B Building - Gym","Permanent",1981
